Ranking,Name,Date,Year,Sales,Audiencebox,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,콜라보,스태프수,동시개봉,제작사
444,크로싱,2008-06-26,8,5657365667,4.01E+00,907255,303,0,0,1,0,0,0,0,0,17,0,0,,,,
445,예의없는 것들,2006-08-24,6,5929105922,4.01E+00,904802,52,0,0,0,0,0,1,0,0,16,0,1,,,,
446,마이 파더,2007-09-06,7,7592012955,4.01E+00,902090,83,0,0,1,0,0,0,0,0,26,0,1,,,,
447,인랑,2018-07-25,18,6995052173,4.01E+00,897591,1085,0,1,0,0,0,0,0,0,27,1,0,,,,
448,누구나 비밀은 있다,2004-07-30,4,6712832000,4.01E+00,896000,50,0,0,0,0,0,1,0,0,30,0,0,,,,
449,방과후 옥상,2006-03-16,6,6678496164,4.01E+00,891417,44,0,0,0,0,0,1,0,0,18,0,0,,,,
450,돈 텔 파파,2004-09-03,4,6598534048,4.01E+00,880744,32,0,0,0,0,0,1,0,0,24,0,1,,,,
451,고死 두 번째 이야기: 교생실습,2010-07-28,10,5901045987,4.01E+00,872594,320,0,0,0,1,0,0,0,0,26,0,0,,,,
452,킬러들의 수다,2001-10-12,1,6040201453,4.01E+00,871125,0,0,0,0,0,0,1,0,0,21,0,0,,,,
453,체포왕,2011-05-04,11,6413325500,4.01E+00,870887,407,0,0,0,0,0,1,0,0,24,1,1,,,,
454,열한시,2013-11-28,13,6097792000,4.01E+00,870785,512,0,0,1,0,0,0,0,0,29,0,1,,,,
455,극장판 헬로카봇 : 백악기 시대,2018-08-01,18,6521741400,4.01E+00,870106,758,0,0,1,0,0,0,0,0,19,0,0,,,,
456,미확인 동영상 : 절대클릭금지,2012-05-30,12,5939840500,4.01E+00,867386,361,0,0,0,1,0,0,0,0,17,0,1,,,,
457,투캅스,1993-12-18,-7,5920129552,4.01E+00,860433,2,0,0,0,0,0,1,0,0,19,0,0,,,,
458,맹부삼천지교,2004-03-26,4,5848291045,4.01E+00,860044,31,0,0,0,0,0,1,0,0,20,0,1,,,,
459,숙명,2008-03-20,8,5680873500,4.01E+00,858215,341,0,1,0,0,0,0,0,0,18,0,1,,,,
460,무사,2001-09-06,1,5892019205,4.01E+00,857148,0,1,0,0,0,0,0,0,0,24,0,0,,,,
461,2009로스트메모리즈,2002-02-01,2,6028858825,4.01E+00,856150,59,0,0,1,0,0,0,0,0,29,0,1,,,,
462,올드미스다이어리,2006-12-21,6,6582818255,4.01E+00,856090,42,0,0,1,0,0,0,0,0,29,0,1,,,,
463,살인의뢰,2015-03-12,15,6986456737,4.01E+00,855980,646,0,1,0,0,0,0,0,0,17,0,0,,,,
464,좋아해줘,2016-02-17,16,6572774337,4.01E+00,848148,637,0,0,1,0,0,0,0,0,18,3,1,,,,
465,만추,2011-02-17,11,6300514500,4.01E+00,844103,444,0,0,1,0,0,0,0,0,16,0,1,,,,
466,"이대로, 죽을 순 없다(Short Time)",2005-08-18,5,5219295025,4.01E+00,838419,42,0,0,1,0,0,0,0,0,22,0,0,,,,
467,아는 여자,2004-06-25,4,5895330000,4.01E+00,838000,40,0,0,0,0,0,1,0,0,24,0,0,,,,
468,대립군,2017-05-31,17,6276963402,4.01E+00,837500,809,1,0,0,0,0,0,0,0,23,2,0,,,,
469,국화꽃 향기,2003-02-28,3,4484236016,4.01E+00,837236,42,0,0,1,0,0,0,0,0,15,0,0,,,,
470,마린보이,2009-02-05,9,5565284169,4.01E+00,837059,340,0,0,1,0,0,0,0,0,17,0,1,,,,
471,슈퍼스타 감사용,2004-09-17,4,5024949215,4.01E+00,834706,43,0,0,1,0,0,0,0,0,18,0,1,,,,
472,남쪽으로 튀어,2013-02-06,13,5970851500,4.01E+00,832894,428,0,0,0,0,0,1,0,0,26,1,1,,,,
473,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,4,5358391025,4.01E+00,830000,55,0,0,0,0,0,1,0,0,20,0,0,,,,
474,손님,2015-07-09,15,6385937880,4.01E+00,828025,634,0,0,0,1,0,0,0,0,28,3,1,,,,
475,뽀로로 극장판 공룡섬 대모험,2017-12-07,17,6226737300,4.01E+00,827021,803,0,0,1,0,0,0,0,0,20,0,0,,,,
476,카트,2014-11-13,14,5926917433,4.01E+00,814233,544,0,0,1,0,0,0,0,0,15,0,0,,,,
477,외출,2005-09-07,5,5920529392,4.01E+00,809191,78,0,0,1,0,0,0,0,0,21,0,0,,,,
478,그놈은 멋있었다,2004-07-22,4,5600000000,4.01E+00,800000,34,0,0,0,0,0,1,0,0,24,0,0,,,,
479,화이트: 저주의 멜로디,2011-06-09,11,5587166000,4.01E+00,790954,305,0,0,0,1,0,0,0,0,24,0,1,,,,
480,나는 왕이로소이다,2012-08-08,12,5455343404,4.01E+00,790181,471,1,0,0,0,0,0,0,0,18,0,1,,,,
481,상의원,2014-12-24,14,6202433964,4.01E+00,790158,466,1,0,0,0,0,0,0,0,26,1,0,,,,
482,반칙왕,2000-02-04,1,6929401259,4.01E+00,787423,0,0,0,0,0,0,1,0,0,22,0,0,,,,
483,관능의 법칙,2014-02-13,14,5858771500,4.01E+00,781516,591,0,0,0,0,0,1,0,0,22,0,1,,,,
484,푸른소금,2011-08-31,11,5739824500,4.01E+00,771699,476,0,0,1,0,0,0,0,0,18,0,1,,,,
485,레슬러,2018-05-09,18,6482683657,4.01E+00,771309,957,0,0,0,0,0,1,0,0,23,2,1,,,,
486,나의 결혼원정기,2005-11-23,5,6240205012,4.01E+00,767657,76,0,0,1,0,0,0,0,0,20,0,1,,,,
487,동해물과 백두산이,2003-12-31,3,5251256665,4.01E+00,764567,32,0,0,0,0,0,1,0,0,23,0,1,,,,
488,몽정기,2002-11-06,2,4829590125,4.01E+00,763190,39,0,0,0,0,0,1,0,0,28,0,0,,,,
489,두 얼굴의 여친,2007-09-13,7,5929102952,4.01E+00,762112,80,0,0,0,0,0,1,0,0,27,0,1,,,,
490,모던보이,2008-10-02,8,4971421000,4.01E+00,758473,373,0,0,1,0,0,0,0,0,19,0,1,,,,
491,스플릿,2016-11-09,16,6102712539,4.00E+00,758195,702,0,0,1,0,0,0,0,0,17,0,0,,,,
492,폰,2002-07-26,2,6492019245,4.00E+00,755437,32,0,0,0,1,0,0,0,0,21,0,0,,,,
493,주유소 습격사건 2,2010-01-21,10,5466499511,4.00E+00,742475,322,0,0,0,0,0,1,0,0,15,0,0,,,,
494,싸이보그지만 괜찮아,2006-12-07,6,5029959295,4.00E+00,739481,72,0,0,1,0,0,0,0,0,25,0,1,,,,
495,김씨표류기,2009-05-14,9,4796220849,4.00E+00,733931,288,0,0,0,0,0,1,0,0,14,0,0,,,,
496,더 파이브,2013-11-14,13,5343797000,4.00E+00,731212,501,0,1,0,0,0,0,0,0,24,0,1,,,,
497,Mr.로빈 꼬시기,2006-12-07,6,4950295992,4.00E+00,730443,69,0,0,0,0,0,1,0,0,25,0,1,,,,
498,순정만화,2008-11-27,8,4674779333,4.00E+00,730343,386,0,0,1,0,0,0,0,0,12,0,1,,,,
499,해피엔드,1999-12-11,-1,4201029582,4.00E+00,730000,0,0,0,1,0,0,1,0,0,20,0,0,,,,
500,비스티 보이즈,2008-04-30,8,4785372500,4.00E+00,727409,278,0,1,0,0,0,1,0,0,14,0,1,,,,
